PIC_ID,WETLAND_NAME,ADDRESS,LATITUDE,LONGITUDE,WETLAND_TYPE
1,마분재습지,전라북도 무주군 안성면 진도리,"N35°52’46.88""","E127°36’41.61""",소택지
2,도소습지,전라북도 무주군 부남면 대소리,"N35°58’31.71""","E127°32’48.96""",하도습지
3,월현습지,전라북도 장수군 계북면 월현리,"N35°47’10.92""","E127°35’47.53""",소택지
4,신흥습지(장수),전라북도 장수군 천천면 연평리,"N35°47’43.99""","E127°33’05.53""",소택지
5,가막습지,전라북도 진안군 진안읍 가막리,"N35°49’36.79""","E127°31’03.89""",하도습지
6,문성습지,전라북도 장수군 계북면 어전리,"N35°47’03.90""","E127°37’51.50""",소택지
7,장기습지,경상남도 거창군 위천면 장기리,"N35°45’08.02""","E127°49’56.74""",하도습지
8,궁대습지,전라북도 무주군 안성면 금평리,"N35°52’07.28""","E127°41’08.55""",인공호습지
9,라제습지,전라북도 무주군 설천면 두길리,"N35°59’37.97""","E127°47’45.33""",하도습지
10,무풍습지,전라북도 무주군 무풍면 철목리,"N35°58’15.34""","E127°50’08.32""",하도습지
11,원증산습지,전라북도 무주군 무풍면 은산리,"N35°56’43.32""","E127°50’28.46""",하도습지
12,서당골습지,경상북도 김천시 부항면 유촌리,"N35°59’49.87""","E127°59’31.68""",소택지
13,구남습지,경상북도 김천시 부항면 희곡리,"N35°59’09.02""","E127°58’09.15""",하도습지
14,퉁점습지,경상북도 김천시 부항면 어전리,"N35°58’48.44""","E127°56’06.92""",하도습지
15,고제습지,경상남도 거창군 고제면 개명리,"N35°49’35.87""","E127°51’25.02""",인공호습지
16,학림지습지,경상남도 거창군 고제면 궁항리,"N35°50’33.41""","E127°52’53.28""",인공호습지
17,금천리 보습지,경상남도 함양군 안의면 금천리,"N35°37’38.28""","E127°48’55.17""",하도습지
18,월평리 보습지,경상남도 거창군 거창읍 대평리,"N35°41’01.99""","E127°56’18.37""",보습지
19,임불리 인공호습지,경상남도 거창군 남상면 임불리,"N35°38’06.07""","E127°58’56.90""",인공호습지
20,술곡리 묵논습지,경상남도 합천군 봉산면 술곡리,"N35°34’31.67""","E127°59’57.19""",소택지
21,하금리 인공호습지,경상남도 합천군 대병면 하금리,"N35°32’02.80""","E127°59’49.96""",인공호습지
22,평촌리 하도습지,경상남도 산청군 생초면 갈전리,"N35°29’13.98""","E127°50’12.26""",하도습지
23,율현지 하도습지,경상남도 산청군 신등면 율현리,"N35°25’27.31""","E127°57’51.46""",하도습지
24,하정리 하도습지,경상남도 산청군 신안면 하정리,"N35°17’58.96""","E127°58’32.29""",하도습지
25,당촌리 묵논습지,경상남도 진주시 대평면 당촌리,"N35°10’14.99""","E127°58’16.08""",소택지
26,창촌리 보습지,경상남도 진주시 수곡면 창촌리,"N35°11’08.12""","E127°54’27.19""",보습지
27,신월리 구하도습지,경상남도 하동군 하동읍 목도리,"N35°02’11.33""","E127°47’20.31""",우각호습지
28,진교리 하구염습지,경상남도 하동군 진교면 송원리,"N35°01’25.61""","E127°54’30.34""",하구염습지
29,낭포리 간척호습지,경상남도 하동군 진교면 송원리,"N35°00’51.87""","E127°55’12.48""",간척호습지
30,곤양저수지,경상남도 사천시 곤양면 송전리,"N35°04’00.35""","E127°58’18.66""",인공호습지
31,매촌리 보습지,경상북도 고령군 쌍림면 매촌리,"N35°40’42.80""","E128°13’45.11""",보습지
32,하거리 보습지,경상북도 고령군 쌍림면 신촌리,"N35°40’16.98""","E128°11’31.76""",보습지
33,역평리 묵논습지,경상남도 합천군 대병면 역평리,"N35°33’43.91""","E128°00’45.78""",소택지
34,합천리 하도습지,경상남도 합천군 용주면 성산리,"N35°33’59.12""","E128°08’19.23""",하도습지
35,제내리 하도습지,경상남도 합천군 율곡면 제내리,"N35°34’42.06""","E128°12’48.30""",하도습지
36,월지습지,경상북도 상주시 사벌면 목가리,"N36°30’07.19""","E128°11’18.93""",담수호습지
37,문림리 소택지,경상남도 합천군 율곡면 문림리,"N35°34’00.59""","E128°11’43.81""",담수호습지
