PIC_ID,WETLAND_NAME,ADDRESS,LATITUDE,LONGITUDE,WETLAND_TYPE
1,여물지습지,경상북도 상주시 이안면 여물리,"N35°25’19.68""","E129°00’09.11""",담수호습지
2,죽안습지,경상북도 예천군 유천면 죽안리,"N35°25’30.90""","E129°00’02.26""",저습지
3,우본지습지,경상북도 문경시 산양면 우본리,"N35°25’38.01""","E129°00’01.27""",담수호습지
4,어화습지,경상북도 예천군 지보면 마산리,"N35°31’21.59""","E129°03’01.21""",소택지
5,금천습지(예천),경상북도 예천군 용궁면 금남리,"N35°22’13.28""","E128°54’44.15""",하도습지
6,연화지습지,경상북도 문경시 산양면 연소리,"N35°28’25.10""","E129°04’58.61""",담수호습지
7,산택지습지,경상북도 예천군 용궁면 산택리,"N35°28’10.40""","E129°06’00.05""",담수호습지
8,원당지습지(예천),경상북도 예천군 용궁면 무이리,"N35°26’43.00""","E129°04’10.92""",담수호습지
9,달지저수지,경상북도 문경시 영순면 달지리,"N35°24’23.46""","E129°06’01.30""",담수호습지
10,참나무실못습지,경상북도 문경시 영순면 사근리,"N35°24’57.51""","E129°07’40.78""",담수호습지
11,화신천습지,경상북도 의성군 안사면 쌍호리,"N35°26’37.02""","E129°08’37.30""",하도습지
12,광산천우각호습지,경상북도 안동시 풍천면 신성리,"N35°26’43.71""","E129°08’29.19""",우각호습지
13,성유리습지,경상북도 문경시 가은읍 전곡리,"N35°26’57.37""","E129°08’13.09""",하도습지
14,육십령습지,경상남도 함양군 서상면 상남리,"N35°27’07.63""","E129°07’46.33""",소택지
15,마평습지,경상남도 함양군 병곡면 광평리,"N35°27’05.82""","E129°08’14.14""",저습지
16,대광습지(함양),경상남도 함양군 병곡면 광평리,"N35°26’59.45""","E129°08’12.96""",소택지
17,도곡리 보습지,경상북도 김천시 지례면 도곡리,"N35°28’55.02""","E129°03’35.67""",보습지
18,유성리 보습지,경상북도 김천시 증산면 유성리,"N35°29’08.34""","E129°03’22.78""",보습지
19,배바위 보습지,경상북도 성주군 금수면 무학리,"N35°28’33.62""","E128°20’38.54""",보습지
